,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,Total CO2 Equivalent Emissions To Revenues USD in million,Company Market Capitalization,"Property Plant And Equipment, Total - Gross",P/E (Daily Time Series Ratio),returns_yearly,Current Ratio,Debt-to-Equity Ratio,Return on Assets,Revenue Per Employee,Return on Equity,Asset Turnover Ratio,Net Income Margin,RIC,Year,ESG Score
363,-0.5187386035973108,-0.49056942911331197,-0.04224632664326628,-0.12003241463962437,-0.21286430483687263,-0.855533366001404,-0.5550107798835221,-0.20055456819681203,-0.23372854093449108,-0.5016466859442011,-0.579465714559623,-0.6115508606985418,1.7250129806793686,-0.2899393782670316,0.14141065787492774,-0.33949173020115114,-0.4239050427766818,-0.18958631837147166,-0.9947600680639649,0.5874974854300454,MGGT.L,2009,35.62286781
364,-0.5629591666469439,-0.555590441371524,-0.1464822708417845,-0.11499164183452978,-0.18730887644448657,-0.8491991949541828,-0.5208206971180923,-0.12800285430217476,-0.2568173804932672,-0.3396892203300918,-0.5727039928333185,-0.10202300154236947,0.8000439409834288,-0.18349146774849667,-0.12212103105060702,-0.3064015707993712,-0.5599016930347016,-0.24622616269641603,-0.9401770325901442,0.5015819292025787,MGGT.L,2010,28.60311135
365,-0.5608611877957496,-0.5347999385700452,-0.24058042303083838,-0.1323683044800243,-0.03591167110165197,-0.8545916509842969,-0.5307533277406833,-0.051252685897870395,-0.24403995786555538,-0.3060303509246341,-0.5739220952239723,-0.6264305635245488,-0.5254175003793252,-0.2694300515469501,-0.33364919307598206,-0.052904399654425255,-0.5983595269434082,-0.11769597321170532,-0.9441066696921434,0.9158218549557167,MGGT.L,2011,27.69583539
366,-0.43699634122525,-0.42969003043528387,-0.16333049491165857,0.04850828519276671,0.16119932168617018,-0.8433114930294896,-0.43382256648225775,0.1725100354852693,-0.2870908033715138,-0.22027752098592976,-0.5561622016661343,-0.580793870914243,-0.15103525097775675,-0.23743228503011607,-0.39901121314203997,-0.017246799561972795,-0.5575286370291976,-0.12375726192480128,-0.9187241395837029,0.8964421055691274,MGGT.L,2012,39.50740075
367,-0.4041303657880811,-0.2764955292019882,-0.23669214012481551,0.06944545703958144,0.27415945552114224,-0.8300090602869161,-0.35839599453359017,0.3006214213084513,-0.32424059544798955,0.07311615880223224,-0.5419211552596471,-0.41209689613978073,0.6626876260788328,-0.5643363177707829,-0.543500103140479,0.099476789892988,-0.6507001363500075,-0.12615934931919268,-0.8256511934367332,0.8168769264511105,MGGT.L,2013,41.63727064
368,-0.349095635205278,-0.4484041180952213,-0.2775998177199082,0.06099260646504201,0.45277048304481793,-0.8273116006457237,-0.33652200794290765,0.44138644478437883,-0.35541563431394524,0.006082724445678427,-0.5295655934846869,-0.2546217097674703,-0.45907878746388847,0.11735463385095407,-0.636464103960177,0.33703754014709,-0.6053914880935735,-0.07717430983623944,-0.7883242456658,1.0376278399202157,MGGT.L,2014,43.30985167
369,-0.37782579581331704,-0.38738042598383743,-0.3086226734028579,0.04124205732062422,0.20463552205464208,-0.841397835883728,-0.39948740832758917,0.39855206885393846,-0.30469056149159307,-0.3042217249893211,-0.5346198492494234,-0.5728628283620875,-1.4571525596475905,-0.20108333994861294,-0.650491874447809,0.04783812488834286,-0.4507192538476498,-0.278482227873353,-0.8641626888690566,0.8426591342577746,MGGT.L,2015,42.59491521
370,-0.30251442853375143,-0.4313047135138519,0.020891853380906846,0.1488623887455122,0.060140729375431,-0.8385888787191395,-0.3977419876357608,0.34773606438101756,-0.3053970726735659,-0.28906940500068035,-0.5216613055152765,0.5231506037222642,0.2174571114467926,0.19263235310321303,-0.3156655005252922,-0.2489216709634537,-0.4633516563252081,-0.38363700062746725,-0.931317136612601,0.570569431516131,MGGT.L,2016,39.99708084
371,-0.30676548844008944,-0.28836466640906044,-0.024586697069377293,0.11140473225159239,0.020899555575365276,-0.8358456541653645,-0.3912163371289102,0.2732924573893339,-0.3018906114461463,-0.1946897779728113,-0.5244509863362968,-0.7341052339003367,-0.2620199008246347,-0.29995358795910787,-0.3147764125773632,-0.2604387690525764,-0.5341085345453375,-0.36959173916936816,-0.8996826541513782,0.47831128478732315,MGGT.L,2017,39.39365391
372,-0.3286585782515119,-0.30741593338565837,-0.05981126773215672,0.06467919091513863,0.14491456109336387,-0.8257725154204122,-0.33995474378130325,0.3117021254037187,-0.3850836188421674,-0.24973895340610286,-0.46854864111258054,0.18548802038291898,-0.5246446511285429,-0.3041396103692491,-0.3733270069820893,-0.05745912808620286,-0.43799053843034974,-0.26989075050054495,-0.7960122415895604,0.5409236652777978,MGGT.L,2018,50.21102063
